lat,999
lon,999
AD4GD_GBIF_occurrence.0,-9999
ADC_Arable_Land_Markers_Autumn_adc.0,65535
ADC_Arable_Land_Markers_Spring_adc.0,65535
ADC_Crop_Parcels_Crop_Code_adc.0,65535
ADC_Crop_Parcels_Field_ID_adc.0,65535
ADC_Crop_Rotation_Index_adc.0,-999
ADC_Grassland_Markers_NDVI_Spring_ndvi.0,-999
ADC_Grassland_Markers_No_Mowing_adc.0,65535
ADC_arable_land_markers_no_ndvi_adc.0,65535
LGN_lgn.0,0
LGN_Monitoring_lgn.0,65535
Precipitation_Netherlands_precipitation.0,-9999
S2_L2A_Netherlands_CloudFree_blue.0,NA
S2_L2A_Netherlands_CloudFree_green.0,0
S2_L2A_Netherlands_CloudFree_red.0,0
S2_L2A_Netherlands_CloudFree_nir.0,0
Temperature_Netherlands_temperature.0,-9999
corine_land_cover_landcover.0,-32768
dominant_leaf_type_10m_dlt.0,240;255
dominant_leaf_type_20m_dlt.0,250;255
eu_demography_tot_p.0,65535
european_settlement_map_2015_esm.0,0
european_settlement_map_2018_esm.0,0
forest_type_10m_ft.0,240;255
forest_type_20m_ft.0,250;255
global_pesticide_grids_apr_h_Alfalfa_2_4_d.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_2_4_db.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Bromoxynil.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Carbaryl.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Chlorpyrifos.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Clethodim.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Cyhalothrin_lambda.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Dimethoate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Diuron.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Eptc.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Glyphosate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Hexazinone.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Indoxacarb.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Malathion.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Metribuzin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Paraquat.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Pendimethalin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Phosmet.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Sethoxydim.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Alfalfa_Trifluralin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_2_4_d.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Acetochlor.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Alachlor.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Atrazine.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Azoxystrobin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Chlorpyrifos.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Clopyralid.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Dicamba.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Dimethenamid_p.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Glufosinate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Glyphosate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Isoxaflutole.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Mesotrione.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Metolachlor_s.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Paraquat.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Pendimethalin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Propargite.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Pyraclostrobin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Simazine.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Corn_Terbufos.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_2_4_d.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Acephate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Acetochlor.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Bifenthrin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Chlorpyrifos.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Dicamba.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Dichloropropene.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Dicrotophos.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Diuron.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Fluometuron.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Fomesafen.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Glufosinate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Glyphosate.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Imidacloprid.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Metolachlor_s.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Msma.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Paraquat.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Pendimethalin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Prometryn.0,-2;-1.5;-1
global_pesticide_grids_apr_h_Cotton_Trifluralin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_OrcGra_2_4_d.0,-2;-1.5;-1
global_pesticide_grids_apr_h_OrcGra_Calcium_polysulfide.0,-2;-1.5;-1
global_pesticide_grids_apr_h_OrcGra_Captan.0,-2;-1.5;-1
global_pesticide_grids_apr_h_OrcGra_Chloropicrin.0,-2;-1.5;-1
global_pesticide_grids_apr_h_OrcGra_Chlorothalonil.0,-2;-1.5;-1
